TAIL_NUMBER,YEAR MANUFACTURED,MANUFACTURER,MODEL,NO-ENG,NO-SEATS
N12540,2001,EMBRAER                       ,EMB-145LR           ,2,55
N614NK,2012,AIRBUS                        ,A320-232            ,2,200
N845UA,2001,AIRBUS INDUSTRIE              ,A319-131            ,2,179
N488UA,2002,AIRBUS INDUSTRIE              ,A320-232            ,2,200
N477WN,2004,BOEING                        ,737-7H4             ,2,140
N749SW,1999,BOEING                        ,737-7H4             ,2,140
N488WN,2004,BOEING                        ,737-7H4             ,2,140
N900WN,2007,BOEING                        ,737-7H4             ,2,140
N716SW,1998,BOEING                        ,737-7H4             ,2,140
N610WN,1995,BOEING                        ,737-3H4             ,2,149
N917WN,2008,BOEING                        ,737-7H4             ,2,140
N703SW,1997,BOEING                        ,737-7H4             ,2,140
N27908,2013,BOEING                        ,787-8               ,2,260
N652AW,1999,AIRBUS INDUSTRIE              ,A320-232            ,2,200
N784AA,1961,BEECH                         ,P35                 ,1,4
N315AS,2002,BOEING                        ,737-990             ,2,149
N557AS,2006,BOEING                        ,737-890             ,2,149
N516AS,2008,BOEING                        ,737-890             ,2,149
N520JB,2001,AIRBUS INDUSTRIE              ,A320-232            ,2,200
N927DA,1988,MCDONNELL DOUGLAS AIRCRAFT CO ,MD-88               ,2,142
N334NB,2002,AIRBUS INDUSTRIE              ,A319-114            ,2,145
N696DL,1999,BOEING                        ,757-232             ,2,178
N989DL,1991,MCDONNELL DOUGLAS AIRCRAFT CO ,MD-88               ,2,142
N387DA,2000,BOEING                        ,737-832             ,2,189
N761ND,2005,BOMBARDIER INC                ,CL-600-2C10         ,2,80
N730EV,2004,BOMBARDIER INC                ,CL-600-2C10         ,2,80
N21154,2003,EMBRAER                       ,EMB-145XR           ,2,55
N748SK,2005,BOMBARDIER INC                ,CL-600-2C10         ,2,80
N14148,2003,EMBRAER                       ,EMB-145XR           ,2,55
N11187,2005,EMBRAER                       ,EMB-145XR           ,2,55
N475HA,2001,BOEING                        ,717-200             ,2,100
N827UA,1999,AIRBUS INDUSTRIE              ,A319-131            ,2,179
N57869,2002,BOEING                        ,757-33N             ,2,275
N67052,2000,BOEING                        ,767-424ER           ,2,292
N835UA,2001,AIRBUS INDUSTRIE              ,A319-131            ,2,179
N421UA,1994,AIRBUS INDUSTRIE              ,A320-232            ,2,200
N465UA,2000,AIRBUS INDUSTRIE              ,A320-232            ,2,200
N523UW,2009,AIRBUS                        ,A321-231            ,2,379
N8329B,2012,BOEING                        ,737-8H4             ,2,140
N407WN,2001,BOEING                        ,737-7H4             ,2,140
N920WN,2008,BOEING                        ,737-7H4             ,2,140
N222WN,2005,BOEING                        ,737-7H4             ,2,140
N401WN,2001,BOEING                        ,737-7H4             ,2,140
N210WN,2005,BOEING                        ,737-7H4             ,2,140
N243WN,2006,BOEING                        ,737-7H4             ,2,140
N33264,2001,BOEING                        ,737-824             ,2,149
N807AW,1999,AIRBUS INDUSTRIE              ,A319-132            ,2,179
N819AW,2000,AIRBUS INDUSTRIE              ,A319-132            ,2,179
N319AS,2003,BOEING                        ,737-990             ,2,149
N525AS,2009,BOEING                        ,737-890             ,2,149
N409AS,2013,BOEING                        ,737-990ER           ,2,222
N558JB,2003,AIRBUS                        ,A320-232            ,2,200
N335NB,2002,AIRBUS INDUSTRIE              ,A319-114            ,2,145
N314NB,2000,AIRBUS INDUSTRIE              ,A319-114            ,2,145
N926DL,1988,MCDONNELL DOUGLAS AIRCRAFT CO ,MD-88               ,2,142
N903EV,2002,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N922FR,2003,AIRBUS                        ,A319-111            ,2,147
N611NK,2012,AIRBUS                        ,A320-232            ,2,200
N527NK,2007,AIRBUS                        ,A319-132            ,2,179
N477CA,2002,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N187PQ,2008,BOMBARDIER INC                ,CL-600-2D24         ,2,95
N986SW,2004,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N75435,2009,BOEING                        ,737-924ER           ,2,191
N37253,2000,BOEING                        ,737-824             ,2,149
N69830,2014,BOEING                        ,737-924ER           ,2,191
N14514,2000,EMBRAER                       ,EMB-135LR           ,2,37
N12136,2003,EMBRAER                       ,EMB-145XR           ,2,55
N639JB,2006,AIRBUS                        ,A320-232            ,2,200
N741EV,2004,BOMBARDIER INC                ,CL-600-2C10         ,2,80
N14106,1994,BOEING                        ,757-224             ,2,178
N12216,1998,BOEING                        ,737-824             ,2,149
N18223,1998,BOEING                        ,737-824             ,2,149
N585JB,2004,AIRBUS                        ,A320-232            ,2,200
N505JB,2000,AIRBUS INDUSTRIE              ,A320-232            ,2,200
N548CA,2008,BOMBARDIER INC                ,CL-600-2D24         ,2,95
N200UU,1995,BOEING                        ,757-2B7             ,2,178
N119US,2000,AIRBUS INDUSTRIE              ,A320-214            ,2,182
N913US,2014,AIRBUS                        ,A321-231            ,2,379
N621VA,2006,AIRBUS                        ,A320-214            ,2,182
N419WN,2001,BOEING                        ,737-7H4             ,2,140
N956WN,2011,BOEING                        ,737-7H4             ,2,140
N922WN,2008,BOEING                        ,737-7H4             ,2,140
N33103,1994,BOEING                        ,757-224             ,2,178
N66803,2013,BOEING                        ,737-924ER           ,2,191
N808AW,1999,AIRBUS INDUSTRIE              ,A319-132            ,2,179
N575UW,2014,AIRBUS INDUSTRIE              ,A321-231            ,2,379
N649JB,2006,AIRBUS                        ,A320-232            ,2,200
N706JB,2008,AIRBUS                        ,A320-232            ,2,200
N568JB,2003,AIRBUS                        ,A320-232            ,2,200
N807JB,2012,AIRBUS                        ,A320-232            ,2,200
N343NB,2002,AIRBUS                        ,A319-114            ,2,145
N341NB,2002,AIRBUS                        ,A319-114            ,2,145
N144DA,1999,BOEING                        ,767-332             ,2,330
N993DL,1991,MCDONNELL DOUGLAS AIRCRAFT CO ,MD-88               ,2,142
N828DN,2014,BOEING                        ,737-932ER           ,2,222
N960DN,1998,BOEING                        ,MD-90-30            ,2,142
N983DL,1991,MCDONNELL DOUGLAS AIRCRAFT CO ,MD-88               ,2,142
N358NB,2003,AIRBUS                        ,A319-114            ,2,145
N367NW,1999,AIRBUS INDUSTRIE              ,A320-212            ,2,182
N905DL,1987,MCDONNELL DOUGLAS AIRCRAFT CO ,MD-88               ,2,142
N333NW,1992,AIRBUS INDUSTRIE              ,A320-211            ,2,182
N329JB,2011,EMBRAER                       ,ERJ 190-100 IGW     ,2,20
N14562,2002,EMBRAER                       ,EMB-145LR           ,2,55
N14203,2006,EMBRAER                       ,EMB-145XR           ,2,55
N916EV,2003,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N16151,2003,EMBRAER                       ,EMB-145XR           ,2,55
N227FR,2014,AIRBUS                        ,A320-214            ,2,182
N506NK,2005,AIRBUS                        ,A319-132            ,2,179
N519NK,2006,AIRBUS                        ,A319-132            ,2,179
N617NK,2012,AIRBUS                        ,A320-232            ,2,200
N863AS,2001,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N454SW,2003,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N816SK,2006,BOMBARDIER INC                ,CL-600-2D24         ,2,95
N110SY,2014,EMBRAER S A                   ,ERJ 170-200 LR      ,2,88
N119SY,2014,EMBRAER S A                   ,ERJ 170-200 LR      ,2,88
N774SK,2006,BOMBARDIER INC                ,CL-600-2C10         ,2,80
N449SW,2002,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N635JB,2006,AIRBUS                        ,A320-232            ,2,200
N972DL,1991,MCDONNELL DOUGLAS AIRCRAFT CO ,MD-88               ,2,142
N618NK,2013,AIRBUS                        ,A320-232            ,2,200
N121SY,2014,EMBRAER S A                   ,ERJ 170-200 LR      ,2,88
N64809,2013,BOEING                        ,737-924ER           ,2,191
N68821,2014,BOEING                        ,737-924ER           ,2,191
N69829,2014,BOEING                        ,737-924ER           ,2,191
N807UA,1998,AIRBUS INDUSTRIE              ,A319-131            ,2,179
N821UA,1998,AIRBUS INDUSTRIE              ,A319-131            ,2,179
N151UW,2013,AIRBUS                        ,A321-211            ,2,199
N824AW,2001,AIRBUS INDUSTRIE              ,A319-132            ,2,179
N829AW,    ,AIRBUS INDUSTRIE              ,A319-132            ,2,179
N557UW,2012,AIRBUS                        ,A321-231            ,2,379
N66828,2014,BOEING                        ,737-924ER           ,2,191
N8634A,2014,BOEING                        ,737-8H4             ,2,140
N508SW,1990,BOEING                        ,737-5H4             ,2,149
N420WN,2001,BOEING                        ,737-7H4             ,2,140
N8319F,2012,BOEING                        ,737-8H4             ,2,140
N207WN,2005,BOEING                        ,737-7H4             ,2,140
N952WN,2010,BOEING                        ,737-7H4             ,2,140
N955WN,2011,BOEING                        ,737-7H4             ,2,140
N649SW,1997,BOEING                        ,737-3H4             ,2,149
N641SW,1996,BOEING                        ,737-3H4             ,2,149
N440LV,2003,BOEING                        ,737-7H4             ,2,140
N908WN,2008,BOEING                        ,737-7H4             ,2,140
N57870,2003,BOEING                        ,757-33N             ,2,275
N565AA,1987,MCDONNELL DOUGLAS             ,DC-9-83(MD-83)      ,2,172
N713AS,1999,BOEING                        ,737-490             ,2,149
N799AS,1998,BOEING                        ,737-490             ,2,149
N198JB,2006,EMBRAER                       ,ERJ 190-100 IGW     ,2,20
N697DL,1999,BOEING                        ,757-232             ,2,178
N722TW,1999,BOEING                        ,757-231             ,2,178
N552NW,2001,BOEING                        ,757-251             ,2,178
N12166,2004,EMBRAER                       ,EMB-145XR           ,2,55
N868CA,2000,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N78438,2009,BOEING                        ,737-924ER           ,2,191
N197JB,2006,EMBRAER                       ,ERJ 190-100 IGW     ,2,20
N14173,2004,EMBRAER                       ,EMB-145XR           ,2,55
N23721,1999,BOEING                        ,737-724             ,2,149
N7708E,2004,BOEING                        ,737-76N             ,2,149
N967WN,2011,BOEING                        ,737-7H4             ,2,140
N8323C,2012,BOEING                        ,737-8H4             ,2,140
N771SA,2000,BOEING                        ,737-7H4             ,2,140
N252WN,2006,BOEING                        ,737-7H4             ,2,140
N206WN,2005,BOEING                        ,737-7H4             ,2,140
N8607M,2013,BOEING                        ,737-8H4             ,2,140
N786SW,2000,BOEING                        ,737-7H4             ,2,140
N627SW,1996,BOEING                        ,737-3H4             ,2,149
N245WN,2006,BOEING                        ,737-7H4             ,2,140
N475WN,2004,BOEING                        ,737-7H4             ,2,140
N823AW,2001,AIRBUS INDUSTRIE              ,A319-132            ,2,179
N482AA,1988,MCDONNELL DOUGLAS             ,DC-9-82(MD-82)      ,2,172
N434AA,1987,MCDONNELL DOUGLAS             ,DC-9-83(MD-83)      ,2,172
N501AA,1989,MCDONNELL DOUGLAS             ,DC-9-82(MD-82)      ,2,172
N537JB,2012,ROBINSON HELICOPTER CO        ,R66                 ,1,5
N914DN,1996,MCDONNELL DOUGLAS             ,MD-90-30            ,2,142
N803DN,2013,BOEING                        ,737-932ER           ,2,222
N824DN,2014,BOEING                        ,737-932ER           ,2,222
N810DN,2013,BOEING                        ,737-932ER           ,2,222
N586JB,2004,AIRBUS                        ,A320-232            ,2,200
N938FR,2005,AIRBUS                        ,A319-112            ,2,100
N866AS,2001,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N529NK,2007,AIRBUS                        ,A319-132            ,2,179
N786SK,2009,BOMBARDIER INC                ,CL-600-2C10         ,2,80
N69819,2014,BOEING                        ,737-924ER           ,2,191
N837UA,2001,AIRBUS INDUSTRIE              ,A319-131            ,2,179
N14188,2005,EMBRAER                       ,EMB-145XR           ,2,55
N713SK,2004,BOMBARDIER INC                ,CL-600-2C10         ,2,80
N445UA,1998,AIRBUS INDUSTRIE              ,A320-232            ,2,200
N39450,2012,BOEING                        ,737-924ER           ,2,191
N37252,2000,BOEING                        ,737-824             ,2,149
N724UW,1999,AIRBUS INDUSTRIE              ,A319-112            ,2,179
N801AW,1998,AIRBUS INDUSTRIE              ,A319-132            ,2,179
N810AW,1999,AIRBUS INDUSTRIE              ,A319-132            ,2,179
N554UW,2011,AIRBUS                        ,A321-231            ,2,379
N483UA,2001,AIRBUS INDUSTRIE              ,A320-232            ,2,200
N7813P,2001,BOEING                        ,737-7K9             ,2,149
N7815L,2003,BOEING                        ,737-76Q             ,2,149
N426WN,2002,BOEING                        ,737-7H4             ,2,140
N203WN,2005,BOEING                        ,737-7H4             ,2,140
N212WN,2005,BOEING                        ,737-7H4             ,2,140
N7751A,2008,BOEING                        ,737-7BD             ,2,149
N925WN,2008,BOEING                        ,737-7H4             ,2,140
N761RR,2000,BOEING                        ,737-7H4             ,2,140
N8613K,2013,BOEING                        ,737-8H4             ,2,140
N747SA,1999,BOEING                        ,737-7H4             ,2,140
N931WN,2009,BOEING                        ,737-7H4             ,2,140
N26215,1998,BOEING                        ,737-824             ,2,149
N817AW,2000,AIRBUS INDUSTRIE              ,A319-132            ,2,179
N644AS,2003,BOEING                        ,737-790             ,2,151
N238JB,    ,EMBRAER                       ,ERJ 190-100 IGW     ,2,20
N615JB,2005,AIRBUS                        ,A320-232            ,2,200
N915DE,1993,MCDONNELL DOUGLAS AIRCRAFT CO ,MD-88               ,2,142
N3773D,2010,BOEING                        ,737-832             ,2,189
N368NB,2003,AIRBUS                        ,A319-114            ,2,145
N67171,2001,BOEING                        ,757-232             ,2,178
N924DL,1988,MCDONNELL DOUGLAS AIRCRAFT CO ,MD-88               ,2,142
N912DL,1987,MCDONNELL DOUGLAS AIRCRAFT CO ,MD-88               ,2,142
N957AT,2000,BOEING                        ,717-200             ,2,100
N901DA,1995,MCDONNELL DOUGLAS             ,MD-90-30            ,2,142
N929AT,2000,BOEING                        ,717-200             ,2,100
N370NW,1999,AIRBUS INDUSTRIE              ,A320-212            ,2,182
N661DN,1990,BOEING                        ,757-232             ,2,178
N16919,2001,EMBRAER                       ,EMB-145LR           ,2,55
N748EV,2004,BOMBARDIER INC                ,CL-600-2C10         ,2,80
N15983,2000,EMBRAER                       ,EMB-145LR           ,2,55
N15574,    ,EMBRAER                       ,EMB-145LR           ,2,55
N13969,1999,EMBRAER                       ,EMB-145LR           ,2,55
N943FR,2005,AIRBUS                        ,A319-112            ,2,100
N122SY,2014,EMBRAER S A                   ,ERJ 170-200 LR      ,2,88
N712SK,2004,BOMBARDIER INC                ,CL-600-2C10         ,2,80
N730SK,2005,BOMBARDIER INC                ,CL-600-2C10         ,2,80
N701SK,2004,BOMBARDIER INC                ,CL-600-2C10         ,2,80
N266JB,2007,EMBRAER                       ,ERJ 190-100 IGW     ,2,20
N16571,2002,EMBRAER                       ,EMB-145LR           ,2,55
N36444,2010,BOEING                        ,737-924ER           ,2,191
N346JB,2011,EMBRAER                       ,ERJ 190-100 IGW     ,2,20
N299SW,1997,EMBRAER                       ,EMB-120ER           ,2,32
N702SK,2004,BOMBARDIER INC                ,CL-600-2C10         ,2,80
N525VA,2007,AIRBUS                        ,A319-112            ,2,100
N435WN,2003,BOEING                        ,737-7H4             ,2,140
N762SW,2000,BOEING                        ,737-7H4             ,2,140
N284WN,2007,BOEING                        ,737-7H4             ,2,140
N239WN,2006,BOEING                        ,737-7H4             ,2,140
N76254,2000,BOEING                        ,737-824             ,2,149
N66831,2014,BOEING                        ,737-924ER           ,2,191
N76269,2001,BOEING                        ,737-824             ,2,149
N68823,2014,BOEING                        ,737-924ER           ,2,191
N433AS,2013,BOEING                        ,737-990ER           ,2,222
N552AS,2006,BOEING                        ,737-890             ,2,149
N797AS,1998,BOEING                        ,737-490             ,2,149
N957DL,1990,MCDONNELL DOUGLAS AIRCRAFT CO ,MD-88               ,2,142
N592HA,2003,BOEING                        ,767-3CB             ,2,300
N628NK,2014,AIRBUS                        ,A320-232            ,2,200
N625NK,    ,AIRBUS                        ,A320-232            ,2,200
N630SK,2011,BOMBARDIER INC                ,CL-600-2C10         ,2,80
N781CA,1999,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N452SW,2002,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N782SK,2009,BOMBARDIER INC                ,CL-600-2C10         ,2,80
N906SW,2001,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N58101,1994,BOEING                        ,757-224             ,2,178
N13161,2004,EMBRAER                       ,EMB-145XR           ,2,55
N47414,2008,BOEING                        ,737-924ER           ,2,191
N33262,2001,BOEING                        ,737-824             ,2,149
N278WN,2007,BOEING                        ,737-7H4             ,2,140
N772SW,2000,BOEING                        ,737-7H4             ,2,140
N493WN,2004,BOEING                        ,737-7H4             ,2,140
N273WN,2007,BOEING                        ,737-7H4             ,2,140
N936WN,2009,BOEING                        ,737-7H4             ,2,140
N7727A,2006,BOEING                        ,737-76N             ,2,149
N230WN,2006,BOEING                        ,737-7H4             ,2,140
N8637A,2014,BOEING                        ,737-8H4             ,2,140
N292WN,2007,BOEING                        ,737-7H4             ,2,140
N12218,1998,BOEING                        ,737-824             ,2,149
N76508,2008,BOEING                        ,737-824             ,2,149
N612JB,2005,AIRBUS                        ,A320-232            ,2,200
N179JB,2005,EMBRAER                       ,ERJ 190-100 IGW     ,2,20
N378DA,1999,BOEING                        ,737-832             ,2,189
N362NW,1998,AIRBUS INDUSTRIE              ,A320-212            ,2,182
N3750D,2001,BOEING                        ,737-832             ,2,189
N465SW,2003,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N13538,2001,EMBRAER                       ,EMB-145LR           ,2,55
N752SK,2005,BOMBARDIER INC                ,CL-600-2C10         ,2,80
N804UA,1997,AIRBUS INDUSTRIE              ,A319-131            ,2,179
N76526,2010,BOEING                        ,737-824             ,2,149
N328JB,2011,EMBRAER                       ,ERJ 190-100 IGW     ,2,20
N565SW,1998,EMBRAER                       ,EMB-120             ,2,32
N469UA,2001,AIRBUS INDUSTRIE              ,A320-232            ,2,200
N491UA,2002,AIRBUS                        ,A320-232            ,2,200
N825UA,1999,AIRBUS INDUSTRIE              ,A319-131            ,2,179
N14916,2001,EMBRAER                       ,EMB-145LR           ,2,55
N103SY,2014,EMBRAER S A                   ,ERJ 170-200 LR      ,2,88
N567UW,2013,AIRBUS                        ,A321-231            ,2,379
N21723,1999,BOEING                        ,737-724             ,2,149
N961AT,2001,BOEING                        ,717-200             ,2,100
N965DL,1990,MCDONNELL DOUGLAS AIRCRAFT CO ,MD-88               ,2,142
N549CA,2008,BOMBARDIER INC                ,CL-600-2D24         ,2,95
N477UA,2001,AIRBUS INDUSTRIE              ,A320-232            ,2,200
N451UA,1998,AIRBUS INDUSTRIE              ,A320-232            ,2,200
N466UA,    ,AIRBUS INDUSTRIE              ,A320-232            ,2,200
N756US,2000,AIRBUS INDUSTRIE              ,A319-112            ,2,179
N703UW,1998,AIRBUS INDUSTRIE              ,A319-112            ,2,179
N534UW,2009,AIRBUS                        ,A321-231            ,2,379
N953UW,2007,EMBRAER                       ,ERJ 190-100 IGW     ,2,20
N844UA,2001,AIRBUS INDUSTRIE              ,A319-131            ,2,179
N475UA,2001,AIRBUS INDUSTRIE              ,A320-232            ,2,200
N430UA,1996,AIRBUS INDUSTRIE              ,A320-232            ,2,200
N855VA,2012,AIRBUS                        ,A320-214            ,2,182
N624VA,2006,AIRBUS                        ,A320-214            ,2,182
N838VA,2011,AIRBUS                        ,A320-214            ,2,182
N837VA,2011,AIRBUS                        ,A320-214            ,2,182
N843VA,2011,AIRBUS                        ,A320-214            ,2,182
N629VA,2007,AIRBUS                        ,A320-214            ,2,182
N8609A,2013,BOEING                        ,737-8H4             ,2,140
N759GS,1999,BOEING                        ,737-7H4             ,2,140
N618WN,1995,BOEING                        ,737-3H4             ,2,149
N410WN,2001,BOEING                        ,737-7H4             ,2,140
N907WN,2008,BOEING                        ,737-7H4             ,2,140
N242WN,2006,BOEING                        ,737-7H4             ,2,140
N434WN,2003,BOEING                        ,737-7H4             ,2,140
N750SA,1999,BOEING                        ,737-7H4             ,2,140
N345SA,1987,BOEING                        ,737-3K2             ,2,149
N470WN,2004,BOEING                        ,737-7H4             ,2,140
N271LV,    ,BOEING                        ,737-705             ,2,149
N490WN,2004,BOEING                        ,737-7H4             ,2,140
N7734H,2006,BOEING                        ,737-7BD             ,2,149
N19117,1996,BOEING                        ,757-224             ,2,178
N37468,2013,BOEING                        ,737-924ER           ,2,191
N87512,2008,BOEING                        ,737-824             ,2,149
N57863,2001,BOEING                        ,757-33N             ,2,275
N37427,2008,BOEING                        ,737-924ER           ,2,191
N24729,1999,BOEING                        ,737-724             ,2,149
N27722,1999,BOEING                        ,737-724             ,2,149
N722US,1999,AIRBUS INDUSTRIE              ,A319-112            ,2,179
N741UW,2000,AIRBUS INDUSTRIE              ,A319-112            ,2,179
N809AW,1999,AIRBUS INDUSTRIE              ,A319-132            ,2,179
N581AA,1991,MCDONNELL DOUGLAS             ,DC-9-82(MD-82)      ,2,172
N523AS,2009,BOEING                        ,737-890             ,2,149
N305AS,2001,BOEING                        ,737-990             ,2,149
N625AS,2001,BOEING                        ,737-790             ,2,151
N619AS,2000,BOEING                        ,737-790             ,2,151
N756AS,1992,BOEING                        ,737-4Q8             ,2,149
N461AS,2014,BOEING                        ,737-990ER           ,2,222
N520AS,2009,BOEING                        ,737-890             ,2,149
N591JB,2004,AIRBUS                        ,A320-232            ,2,200
N793JB,2011,AIRBUS                        ,A320-232            ,2,200
N637JB,2006,AIRBUS                        ,A320-232            ,2,200
N178JB,2005,EMBRAER                       ,ERJ 190-100 IGW     ,2,20
N629JB,2005,AIRBUS                        ,A320-232            ,2,200
N662JB,2007,AIRBUS                        ,A320-232            ,2,200
N369NW,1999,AIRBUS INDUSTRIE              ,A320-212            ,2,182
N822DN,2014,BOEING                        ,737-932ER           ,2,222
N303DQ,2008,BOEING                        ,737-732             ,2,149
N941DL,1989,MCDONNELL DOUGLAS AIRCRAFT CO ,MD-88               ,2,142
N315NB,2000,AIRBUS INDUSTRIE              ,A319-114            ,2,145
N999DN,1992,MCDONNELL DOUGLAS CORPORATION ,MD-88               ,2,142
N674DL,1992,BOEING                        ,757-232             ,2,178
N928DN,    ,BOEING                        ,MD-90-30            ,2,142
N958DL,1990,MCDONNELL DOUGLAS AIRCRAFT CO ,MD-88               ,2,142
N3732J,2000,BOEING                        ,737-832             ,2,189
N332NW,1992,AIRBUS INDUSTRIE              ,A320-211            ,2,182
N820DN,2014,BOEING                        ,737-932ER           ,2,222
N922AT,2005,BOEING                        ,717-200             ,2,100
N339NW,1992,AIRBUS INDUSTRIE              ,A320-212            ,2,182
N366NW,1999,AIRBUS INDUSTRIE              ,A320-212            ,2,182
N711ZX,1997,BOEING                        ,757-231             ,2,178
N338NW,1992,AIRBUS INDUSTRIE              ,A320-212            ,2,182
N623DL,1987,BOEING                        ,757-232             ,2,178
N968DL,1990,MCDONNELL DOUGLAS AIRCRAFT CO ,MD-88               ,2,142
N964DN,1999,BOEING                        ,MD-90-30            ,2,142
N660DL,1990,BOEING                        ,757-232             ,2,178
N377NW,2003,AIRBUS                        ,A320-211            ,2,182
N517JB,2000,AIRBUS INDUSTRIE              ,A320-232            ,2,200
N759EV,2005,BOMBARDIER INC                ,CL-600-2C10         ,2,80
N17115,2002,EMBRAER                       ,EMB-145XR           ,2,55
N11565,2002,EMBRAER                       ,EMB-145LR           ,2,55
N11199,2006,EMBRAER                       ,EMB-145XR           ,2,55
N11119,2002,EMBRAER                       ,EMB-145XR           ,2,55
N13965,1999,EMBRAER                       ,EMB-145LR           ,2,55
N622NK,2013,AIRBUS                        ,A320-232            ,2,200
N515NK,2006,AIRBUS                        ,A319-132            ,2,179
N941SW,2003,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N986CA,    ,CANADAIR                      ,CL-600-2B19         ,2,55
N127SY,2014,EMBRAER S A                   ,ERJ 170-200 LR      ,2,88
N216AG,2001,BOMBARDIER INC                ,CL-600-2C10         ,2,80
N225AG,2001,BOMBARDIER INC                ,CL-600-2C10         ,2,80
N768SK,2005,BOMBARDIER INC                ,CL-600-2C10         ,2,80
N907SW,2001,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N295SW,1996,EMBRAER                       ,EMB-120ER           ,2,32
N805UA,1998,AIRBUS INDUSTRIE              ,A319-131            ,2,179
N78501,2006,BOEING                        ,737-824             ,2,149
N37408,2001,BOEING                        ,737-924             ,2,191
N76502,2006,BOEING                        ,737-824             ,2,149
N916SW,2002,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N14180,2005,EMBRAER                       ,EMB-145XR           ,2,55
N916DE,1993,MCDONNELL DOUGLAS AIRCRAFT CO ,MD-88               ,2,142
N105UW,1999,AIRBUS INDUSTRIE              ,A320-214            ,2,182
N173US,2001,AIRBUS INDUSTRIE              ,A321-211            ,2,199
N8618N,2013,BOEING                        ,737-8H4             ,2,140
N449WN,2003,BOEING                        ,737-7H4             ,2,140
N615SW,1995,BOEING                        ,737-3H4             ,2,149
N392SW,1994,BOEING                        ,737-3H4             ,2,149
N7752B,2008,BOEING                        ,737-7BD             ,2,149
N258WN,2006,BOEING                        ,737-7H4             ,2,140
N236WN,2006,BOEING                        ,737-7H4             ,2,140
N215WN,2005,BOEING                        ,737-7H4             ,2,140
N259WN,2006,BOEING                        ,737-7H4             ,2,140
N782SA,2000,BOEING                        ,737-7H4             ,2,140
N938WN,2009,BOEING                        ,737-7H4             ,2,140
N14704,1998,BOEING                        ,737-724             ,2,149
N33286,2004,BOEING                        ,737-824             ,2,149
N56859,2004,BOEING                        ,757-324             ,2,275
N37420,2008,BOEING                        ,737-924ER           ,2,191
N27205,2000,BOEING                        ,737-824             ,2,149
N28478,2013,BOEING                        ,737-924ER           ,2,191
N680AW,2005,AIRBUS                        ,A320-232            ,2,200
N760US,2000,AIRBUS INDUSTRIE              ,A319-112            ,2,179
N590AS,2008,BOEING                        ,737-890             ,2,149
N140LL,1993,BOEING                        ,767-332             ,2,330
N935DN,1996,MCDONNELL DOUGLAS             ,MD-90-30            ,2,142
N942DL,1989,MCDONNELL DOUGLAS AIRCRAFT CO ,MD-88               ,2,142
N821SK,2007,BOMBARDIER INC                ,CL-600-2D24         ,2,95
N616QX,2003,BOMBARDIER INC                ,CL-600-2C10         ,2,80
N606SK,2006,BOMBARDIER INC                ,CL-600-2C10         ,2,80
N905SW,2000,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N764SK,2005,BOMBARDIER INC                ,CL-600-2C10         ,2,80
N105SY,2014,EMBRAER S A                   ,ERJ 170-200 LR      ,2,88
N24702,1998,BOEING                        ,737-724             ,2,149
N77518,2008,BOEING                        ,737-824             ,2,149
N34110,2002,EMBRAER                       ,EMB-145XR           ,2,55
N487HA,2001,BOEING                        ,717-200             ,2,100
N437UA,1997,AIRBUS INDUSTRIE              ,A320-232            ,2,200
N3734B,2000,BOEING                        ,737-832             ,2,189
N960SW,2003,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N428UA,1995,AIRBUS INDUSTRIE              ,A320-232            ,2,200
N444UA,1998,AIRBUS INDUSTRIE              ,A320-232            ,2,200
N419UA,1994,AIRBUS INDUSTRIE              ,A320-232            ,2,200
N818AW,2000,AIRBUS INDUSTRIE              ,A319-132            ,2,179
N816AW,2000,AIRBUS INDUSTRIE              ,A319-132            ,2,179
N830AW,    ,AIRBUS INDUSTRIE              ,A319-132            ,2,179
N418UA,1994,AIRBUS INDUSTRIE              ,A320-232            ,2,200
N637VA,2008,AIRBUS                        ,A320-214            ,2,182
N409WN,2001,BOEING                        ,737-7H4             ,2,140
N7744A,2007,BOEING                        ,737-7BD             ,2,149
N433LV,2003,BOEING                        ,737-7H4             ,2,140
N269WN,2007,BOEING                        ,737-7H4             ,2,140
N441WN,2003,BOEING                        ,737-7H4             ,2,140
N359SW,1992,BOEING                        ,737-3H4             ,2,149
N405WN,2001,BOEING                        ,737-7H4             ,2,140
N358SW,1992,BOEING                        ,737-3H4             ,2,149
