TAIL_NUMBER,YEAR MANUFACTURED,MANUFACTURER,MODEL,NO-ENG,NO-SEATS
N14977,1999,EMBRAER                       ,EMB-145LR           ,2,55
N562UW,2012,AIRBUS                        ,A321-231            ,2,379
N752US,2000,AIRBUS INDUSTRIE              ,A319-112            ,2,179
N803AW,1998,AIRBUS INDUSTRIE              ,A319-132            ,2,179
N216WR,2005,BOEING                        ,737-7H4             ,2,140
N8606C,    ,BOEING                        ,737-8H4             ,2,140
N8600F,2012,BOEING                        ,737-8H4             ,2,140
N929WN,2008,BOEING                        ,737-7H4             ,2,140
N73251,2000,BOEING                        ,737-824             ,2,149
N177US,    ,AIRBUS INDUSTRIE              ,A321-211            ,2,199
N150UW,2013,AIRBUS                        ,A321-211            ,2,199
N587AS,2007,BOEING                        ,737-890             ,2,149
N942JB,2014,AIRBUS                        ,A321-231            ,2,379
N658DL,1990,BOEING                        ,757-232             ,2,178
N853AS,2000,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N856AS,2000,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N916DL,1988,MCDONNELL DOUGLAS AIRCRAFT CO ,MD-88               ,2,142
N936SW,2002,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N78511,2008,BOEING                        ,737-824             ,2,149
N899AT,2005,BOEING                        ,717-200             ,2,100
N424UA,1995,AIRBUS INDUSTRIE              ,A320-232            ,2,200
N583NW,2002,BOEING                        ,757-351             ,2,275
N211UA,2000,BOEING                        ,777-222             ,2,400
N8653A,2014,BOEING                        ,737-8H4             ,2,140
N776WN,2000,BOEING                        ,737-7H4             ,2,140
N436WN,2003,BOEING                        ,737-7H4             ,2,140
N705SW,1998,BOEING                        ,737-7H4             ,2,140
N658AW,1999,AIRBUS INDUSTRIE              ,A320-232            ,2,200
N186US,2002,AIRBUS                        ,A321-211            ,2,199
N921DN,    ,MCDONNELL DOUGLAS             ,MD-90-30            ,2,142
N11547,2002,EMBRAER                       ,EMB-145LR           ,2,55
N29515,2000,EMBRAER                       ,EMB-135LR           ,2,37
N14543,2002,EMBRAER                       ,EMB-145LR           ,2,55
N819UA,1998,AIRBUS INDUSTRIE              ,A319-131            ,2,179
N210UA,2000,BOEING                        ,777-222             ,2,400
